"X" "Y"
"1" -68833.8814600531 38328.3326590064
"2" -74810.3283841344 21903.5134885485
"3" -50126.3791460013 -34429.1407739007
"4" 34283.9590065314 -49238.2824661318
"5" -97749.7834254089 -153649.140274958
"6" 45927.5094205037 -33919.3617348673
"7" 44868.9893209288 -40950.8169077007
"8" 124434.105626359 -25210.6073219424
"9" 44427.8019251733 -28372.2106855017
"10" -88263.7063435842 -14062.2104716196
"11" -104978.32340613 -32682.7845368891
"12" 189172.554957108 40800.7153598168
"13" 138049.300440926 22898.0790803946
"14" 147363.275225883 36620.3515999916
"15" -96586.7838992013 112161.355013708
"16" -94579.6846214413 78985.2560273042
"17" -92598.6252374584 60816.9519447408
